state,county,tract,kfr_pooled_pooled_p25,par_rank_pooled_pooled_mean,kid_pooled_pooled_n,kid_black_pooled_n,geoid
17,31,221600,0.39413881,0.43958971,464.0,6.0,17031221600
17,31,222200,0.33623543,0.38101995,300.0,10.0,17031222200
17,31,222500,0.38555497,0.29058281,777.0,89.0,17031222500
17,31,222600,0.36676031,0.25990468,620.0,75.0,17031222600
17,31,222700,0.35832807,0.30631757,902.0,129.0,17031222700
17,31,222800,0.33712041,0.26001245,469.0,23.0,17031222800
17,31,222900,0.39221692,0.36001757,611.0,23.0,17031222900
17,31,230100,0.33997706,0.30583677,719.0,144.0,17031230100
17,31,230200,0.36915401,0.32445282,845.0,72.0,17031230200
17,31,230300,0.37151745,0.28857926,497.0,23.0,17031230300
17,31,230400,0.35903677,0.39530456,1020.0,23.0,17031230400
17,31,230500,0.35771233,0.32476982,1405.0,64.0,17031230500
17,31,230600,0.33257511,0.30878198,2940.0,1211.0,17031230600
17,31,230700,0.37656844,0.33941242,2797.0,490.0,17031230700
17,31,230800,0.38850847,0.41038114,530.0,29.0,17031230800
17,31,230900,0.35637805,0.30039722,2517.0,511.0,17031230900
17,31,231100,0.2874071,0.25695637,506.0,465.0,17031231100
17,31,231200,0.29604703,0.27502716,2816.0,2415.0,17031231200
17,31,231500,0.26624727,0.26149085,2822.0,2727.0,17031231500
17,31,240200,0.37179837,0.37378225,211.0,17.0,17031240200
17,31,240300,0.36142477,0.54610783,161.0,1.0,17031240300
17,31,240500,0.42614281,0.45228013,130.0,9.0,17031240500
17,31,240600,0.34226471,0.32037643,550.0,6.0,17031240600
17,31,240700,0.4083398,0.27084368,687.0,56.0,17031240700
17,31,240800,0.35445401,0.29220375,703.0,26.0,17031240800
17,31,240900,0.39334378,0.32426792,376.0,69.0,17031240900
17,31,241000,0.32621327,0.24566826,1039.0,298.0,17031241000
17,31,241100,0.35903469,0.25609955,1578.0,397.0,17031241100
17,31,241200,0.33973584,0.31684241,273.0,60.0,17031241200
17,31,241300,0.34265459,0.33122578,270.0,89.0,17031241300
17,31,241400,0.33219618,0.36974046,494.0,104.0,17031241400
17,31,241500,0.42479146,0.3427048,555.0,5.0,17031241500
17,31,241600,0.36200893,0.33593863,1099.0,32.0,17031241600
17,31,242000,0.36364758,0.2911427,1033.0,225.0,17031242000
17,31,242100,0.37157395,0.31063578,751.0,18.0,17031242100
17,31,242200,0.41378164,0.34457582,702.0,27.0,17031242200
17,31,242300,0.38237342,0.46874276,422.0,3.0,17031242300
17,31,242400,0.47375566,0.43756455,381.0,2.0,17031242400
17,31,242500,0.40137509,0.30816329,905.0,52.0,17031242500
17,31,242600,0.35161623,0.27307659,2135.0,281.0,17031242600
17,31,242700,0.33543324,0.2662459,973.0,412.0,17031242700
17,31,242800,0.4050799,0.53887242,308.0,5.0,17031242800
17,31,242900,0.41258815,0.32870269,391.0,6.0,17031242900
17,31,243000,0.4356539,0.41766146,603.0,12.0,17031243000
17,31,243100,0.40751216,0.35745603,850.0,22.0,17031243100
17,31,243200,0.37140957,0.32602447,527.0,6.0,17031243200
17,31,243300,0.3669444,0.3125304,483.0,18.0,17031243300
17,31,243400,0.3978422,0.38013029,837.0,67.0,17031243400
17,31,243500,0.29193279,0.36789414,286.0,140.0,17031243500
17,31,250200,0.27936253,0.37667882,1069.0,839.0,17031250200
17,31,250300,0.30091304,0.35579008,1769.0,1650.0,17031250300
17,31,250400,0.31245732,0.40367848,2180.0,2024.0,17031250400
17,31,250500,0.37655246,0.59948295,1820.0,759.0,17031250500
17,31,250600,0.30120611,0.40410736,1784.0,1707.0,17031250600
17,31,250700,0.30493921,0.37284684,2233.0,2156.0,17031250700
17,31,250800,0.29825181,0.37968156,1053.0,976.0,17031250800
17,31,251000,0.26592016,0.31940064,493.0,475.0,17031251000
17,31,251100,0.27712688,0.3125101,2053.0,1981.0,17031251100
17,31,251200,0.29527372,0.36392459,1699.0,1650.0,17031251200
17,31,251300,0.30349386,0.34161195,2057.0,1987.0,17031251300
17,31,251400,0.29805458,0.34484592,1467.0,1401.0,17031251400
17,31,251500,0.28402564,0.28894281,1906.0,1843.0,17031251500
17,31,251600,0.28815132,0.28023696,1695.0,1668.0,17031251600
17,31,251700,0.30819759,0.28805894,715.0,679.0,17031251700
17,31,251800,0.28171575,0.26052892,2242.0,2215.0,17031251800
17,31,251900,0.27613255,0.25999886,2771.0,2733.0,17031251900
