geoid,Threshold,jobs
17031010701,45,256814.55859375
17031010701,50,486178.74665178574
17031010701,55,844691.5915178572
17031010701,60,1087436.7271205357
17031010702,5,465.5758527827648
17031010702,10,2073.6189407540396
17031010702,15,3790.113105924596
17031010702,20,10275.208707360862
17031010702,25,27919.842908438062
17031010702,30,54317.87387791742
17031010702,35,101316.31193895872
17031010702,40,169097.49147217235
17031010702,45,321685.6157989228
17031010702,50,657180.8128366248
17031010702,55,1028504.2832136444
17031010702,60,1156768.5067324955
17031020100,5,98.85353535353536
17031020100,10,725.0561167227834
17031020100,15,2664.08024691358
17031020100,20,7372.991582491582
17031020100,25,17392.26150392817
17031020100,30,41949.01290684624
17031020100,35,84533.0544332211
17031020100,40,123159.56958473624
17031020100,45,161399.39618406285
17031020100,50,212014.87373737377
17031020100,55,300757.234006734
17031020100,60,513606.6750841751
17031020200,5,149.43177046885936
17031020200,10,639.0094471658502
17031020200,15,2520.70188943317
17031020200,20,8833.317704688594
17031020200,25,22014.390482855142
17031020200,30,42287.793911826455
17031020200,35,79634.85234429671
17031020200,40,121027.7379286214
17031020200,45,157216.36983904828
17031020200,50,204116.45626312107
17031020200,55,273704.2053883835
17031020200,60,378701.94611616514
17031020301,5,51.066087795465506
17031020301,10,301.51278340569223
17031020301,15,2343.8292329956585
17031020301,20,8511.380125422094
17031020301,25,21548.51133622769
17031020301,30,40055.96960926194
17031020301,35,71976.73613121081
17031020301,40,108341.505065123
17031020301,45,151353.37144235408
17031020301,50,205207.2344428365
17031020301,55,284742.00530631933
17031020301,60,399333.8118668596
17031020302,5,136.79294935451838
17031020302,10,894.2760675273088
17031020302,15,3294.9106256206555
17031020302,20,10499.199106256208
17031020302,25,21724.798411122145
17031020302,30,45821.0084409136
17031020302,35,84870.03624627607
17031020302,40,127638.74826216484
17031020302,45,170235.35700099304
17031020302,50,239967.3396226415
17031020302,55,371778.73386295926
17031020302,60,623222.0501489573
17031020400,5,56.78328981723238
17031020400,10,668.7900783289817
17031020400,15,3545.907049608355
17031020400,20,8793.699216710183
17031020400,25,17421.994778067885
17031020400,30,35839.513315926895
17031020400,35,66753.63237597911
17031020400,40,112142.51331592687
17031020400,45,172478.32375979112
17031020400,50,269916.97911227157
17031020400,55,493650.4840731071
17031020400,60,816985.9023498695
17031020500,5,265.9188935771214
17031020500,10,1907.3858415377404
